name,url,from #player,to #player,duration (mins),complexity
kingsguild,https://boardgamearena.com/gamepanel?game=kingsguild,1,6,36,3
lewisclark,https://boardgamearena.com/gamepanel?game=lewisclark,2,5,60,3
sapiens,https://boardgamearena.com/gamepanel?game=sapiens,2,4,32,2
tobago,https://boardgamearena.com/gamepanel?game=tobago,2,4,30,2
jekyllvshide,https://boardgamearena.com/gamepanel?game=jekyllvshide,2,2,10,2
carrara,https://boardgamearena.com/gamepanel?game=carrara,2,4,45,2
elfenland,https://boardgamearena.com/gamepanel?game=elfenland,2,6,32,3
notalone,https://boardgamearena.com/gamepanel?game=notalone,2,7,28,3
medina,https://boardgamearena.com/gamepanel?game=medina,2,4,48,2
kahuna,https://boardgamearena.com/gamepanel?game=kahuna,2,2,19,2
lox,https://boardgamearena.com/gamepanel?game=lox,3,5,56,3
blueskies,https://boardgamearena.com/gamepanel?game=blueskies,2,5,32,2
smallislands,https://boardgamearena.com/gamepanel?game=smallislands,2,4,42,2
timemasters,https://boardgamearena.com/gamepanel?game=timemasters,2,4,29,3
taluva,https://boardgamearena.com/gamepanel?game=taluva,2,5,22,2
hawaii,https://boardgamearena.com/gamepanel?game=hawaii,2,5,17,4
crazyfarmers,https://boardgamearena.com/gamepanel?game=crazyfarmers,2,4,21,2
battleforhill,https://boardgamearena.com/gamepanel?game=battleforhill,2,2,10,1
nangaparbat,https://boardgamearena.com/gamepanel?game=nangaparbat,2,2,26,3
inventors,https://boardgamearena.com/gamepanel?game=inventors,2,5,24,2
assyria,https://boardgamearena.com/gamepanel?game=assyria,2,4,43,3
khronos,https://boardgamearena.com/gamepanel?game=khronos,2,5,103,3
bombay,https://boardgamearena.com/gamepanel?game=bombay,2,5,26,2
k2,https://boardgamearena.com/gamepanel?game=k2,2,5,36,2
florenzacardgame,https://boardgamearena.com/gamepanel?game=florenzacardgame,2,4,23,3
dragonkeeper,https://boardgamearena.com/gamepanel?game=dragonkeeper,2,4,18,2
twintinbots,https://boardgamearena.com/gamepanel?game=twintinbots,2,6,44,2
pennypress,https://boardgamearena.com/gamepanel?game=pennypress,3,5,30,3
metromaniab,https://boardgamearena.com/gamepanel?game=metromaniab,2,4,23,1
thermopyles,https://boardgamearena.com/gamepanel?game=thermopyles,1,1,3,2
dragonline,https://boardgamearena.com/gamepanel?game=dragonline,2,2,9,2
kingdombuilder,https://boardgamearena.com/gamepanel?game=kingdombuilder,2,5,18,2
luckynumbers,https://boardgamearena.com/gamepanel?game=luckynumbers,2,4,5,1
lostcities,https://boardgamearena.com/gamepanel?game=lostcities,2,2,9,1
railroadink,https://boardgamearena.com/gamepanel?game=railroadink,1,12,9,2
diceforge,https://boardgamearena.com/gamepanel?game=diceforge,2,4,15,2
takenoko,https://boardgamearena.com/gamepanel?game=takenoko,2,4,19,2
sushigo,https://boardgamearena.com/gamepanel?game=sushigo,2,5,5,2
thecrew,https://boardgamearena.com/gamepanel?game=thecrew,3,5,32,2
alhambra,https://boardgamearena.com/gamepanel?game=alhambra,2,6,35,3
solo,https://boardgamearena.com/gamepanel?game=solo,2,10,12,1
loveletter,https://boardgamearena.com/gamepanel?game=loveletter,3,8,23,1
downforce,https://boardgamearena.com/gamepanel?game=downforce,2,6,24,2
tichu,https://boardgamearena.com/gamepanel?game=tichu,4,4,42,3
jaipur,https://boardgamearena.com/gamepanel?game=jaipur,2,2,13,2
chakra,https://boardgamearena.com/gamepanel?game=chakra,2,4,8,2
saintpetersburg,https://boardgamearena.com/gamepanel?game=saintpetersburg,2,4,17,2
papayoo,https://boardgamearena.com/gamepanel?game=papayoo,3,8,15,1
wizard,https://boardgamearena.com/gamepanel?game=wizard,3,6,26,3
ohhell,https://boardgamearena.com/gamepanel?game=ohhell,3,7,25,1
bandido,https://boardgamearena.com/gamepanel?game=bandido,1,4,7,1
cribbage,https://boardgamearena.com/gamepanel?game=cribbage,2,2,12,1
forsale,https://boardgamearena.com/gamepanel?game=forsale,3,6,8,1
draftosaurus,https://boardgamearena.com/gamepanel?game=draftosaurus,2,5,5,2
martiandice,https://boardgamearena.com/gamepanel?game=martiandice,2,10,7,0
piratenkapern,https://boardgamearena.com/gamepanel?game=piratenkapern,2,5,7,1
spades,https://boardgamearena.com/gamepanel?game=spades,4,4,36,2
rallymangt,https://boardgamearena.com/gamepanel?game=rallymangt,1,6,24,2
bubbleepop,https://boardgamearena.com/gamepanel?game=bubbleepop,2,2,12,1
saboteur,https://boardgamearena.com/gamepanel?game=saboteur,2,12,31,2
hardback,https://boardgamearena.com/gamepanel?game=hardback,1,5,29,2
incangold,https://boardgamearena.com/gamepanel?game=incangold,3,8,7,1
luxor,https://boardgamearena.com/gamepanel?game=luxor,2,4,14,2
lettertycoon,https://boardgamearena.com/gamepanel?game=lettertycoon,2,5,31,2
trektwelve,https://boardgamearena.com/gamepanel?game=trektwelve,1,8,6,0
viamagica,https://boardgamearena.com/gamepanel?game=viamagica,2,6,8,2
conspiracy,https://boardgamearena.com/gamepanel?game=conspiracy,2,4,6,3
thurnandtaxis,https://boardgamearena.com/gamepanel?game=thurnandtaxis,2,4,20,3
concept,https://boardgamearena.com/gamepanel?game=concept,2,12,44,3
werewolves,https://boardgamearena.com/gamepanel?game=werewolves,8,12,15,1
coloretto,https://boardgamearena.com/gamepanel?game=coloretto,3,5,11,1
